Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
25,25,25-Apr,@,KCR,"W,6-2",40,35,6,8,2,0,0,5,3,0,3,0,0,2,2,0,0,0,0.247,0.319,0.4,0.719,7,9,R,J.Hammel (49)
26,26,26-Apr,@,CHC,"L,0-1",31,31,0,6,2,0,0,0,0,0,6,0,0,0,0,1,1,1,0.245,0.315,0.395,0.71,4,11,R,K.Hendricks (74)
27,27,27-Apr,@,CHC,"L,2-3",36,30,2,4,1,0,0,2,4,0,10,0,0,2,1,0,1,0,0.242,0.311,0.388,0.699,7,14,R,Y.Darvish (70)
28,28,28-Apr,@,CHC,"L,0-3",30,29,0,2,1,0,0,0,1,0,10,0,0,0,1,0,0,0,0.236,0.305,0.379,0.685,3,12,L,J.Quintana (79)
29,29,29-Apr,@,CHC,"L,0-2",31,27,0,2,0,0,0,0,4,0,6,0,0,0,0,2,2,0,0.232,0.302,0.371,0.673,4,15,R,T.Chatwood (74)
30,30,30-Apr,@,CIN,"W,6-5",40,35,6,9,1,0,2,5,5,0,4,0,0,0,0,1,5,0,0.233,0.304,0.374,0.678,7,15,L,B.Finnegan (44)
31,31,01-May,@,CIN,"W,7-6",36,33,7,9,1,1,3,7,2,0,7,0,1,0,0,0,0,1,0.234,0.304,0.382,0.686,2,14,R,H.Bailey (35)
32,32,02-May,@,CIN,"W,3-1",40,39,3,12,2,0,1,3,1,0,11,0,0,0,2,1,1,0,0.237,0.305,0.384,0.689,10,15,R,L.Castillo (52)
33,33,04-May,,PIT,"L,4-6",38,35,4,9,2,0,2,4,3,0,12,0,0,0,0,1,0,0,0.237,0.305,0.387,0.692,7,16,R,N.Kingham (46)
34,34,05-May,,PIT,"W,5-3",37,31,5,9,3,0,0,4,6,1,5,0,0,0,0,1,0,0,0.239,0.308,0.387,0.695,8,14,R,J.Taillon (50)
35,35,06-May,,PIT,"L,0-9",30,28,0,2,0,0,0,0,2,0,14,0,0,0,0,1,0,0,0.235,0.304,0.38,0.684,3,16,R,C.Kuhl (81)
